title,year,genres,imdb_rating,local_gross,worldwide_gross,budget,opening_weekend,url
Pisces,2000,"['Back to top', 'Romance']",6.1,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0380565/
Family,2002,"['Romance', 'Action', 'Back to top', 'Comedy']",5.3,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0330274/
Mr. Housewife,2005,"['Back to top', 'Comedy']",6.2,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0479716/
Bloody Beach,2000,"['Horror', 'Thriller', 'Back to top', 'Mystery', 'Crime']",4.8,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0291043/
"Spring, Summer, Fall, Winter... and Spring",2003,"['Back to top', 'Drama', 'Romance']",8.0,"$2,380,788","$8,842,902",N/A,"$42,561",https://www.imdb.com/title/tt0374546/
Marrying the Mafia 2: Enemy-in-Law,2005,"['Comedy', 'Back to top', 'Romance', 'Action', 'Crime']",5.8,N/A,"$31,835,989",N/A,N/A,https://www.imdb.com/title/tt0479669/
A Bold Family,2005,"['Back to top', 'Drama', 'Comedy']",6.0,N/A,"$8,828,738",N/A,N/A,https://www.imdb.com/title/tt0464651/
The Unforgiven,2005,"['Back to top', 'Drama']",6.8,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0499274/
My Sassy Girl,2001,"['Comedy', 'Romantic Comedy', 'Back to top', 'Drama', 'Romance']",7.9,N/A,"$365,429",N/A,N/A,https://www.imdb.com/title/tt0293715/
Black Sheep,2006,"['Comedy', 'Dark Comedy', 'Back to top', 'Sci-Fi', 'Horror']",5.8,"$84,283","$4,947,717",N/A,"$16,102",https://www.imdb.com/title/tt0779982/
Shin Sung-il-eui hangbang-bulmyung,2004,"['Back to top', 'Drama']",6.8,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0453907/
Mr. Socrates,2005,"['Back to top', 'Action', 'Crime']",6.2,N/A,"$6,380,429",N/A,N/A,https://www.imdb.com/title/tt0488762/
The Powerpuff Girls Movie,2002,"['Adventure', 'Comedy', 'Back to top', 'Hand-Drawn Animation', 'Superhero', 'Animation', 'Family', 'Sci-Fi', 'Action']",6.5,"$11,412,414","$16,426,471","$11,000,000 (estimated)","$3,583,114",https://www.imdb.com/title/tt0289408/
Typhoon,2005,"['Action', 'Back to top']",5.7,"$139,059","$26,179,656",N/A,"$59,409",https://www.imdb.com/title/tt0475750/
Secret Tears,2000,"['Horror', 'Thriller', 'Back to top', 'Drama', 'Romance']",5.4,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0268996/
A Great Actor,2005,"['Back to top', 'Drama']",4.3,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt2772996/
Waikiki Brothers,2001,"['Back to top', 'Drama']",7.0,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0297462/
Dead Friend,2004,"['Back to top', 'Horror']",5.9,N/A,"$178,161","$1,800,000 (estimated)",N/A,https://www.imdb.com/title/tt0410537/
Namja taeunada,2002,"['Back to top', 'Romance', 'Drama', 'Comedy']",4.4,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0336895/
The Host,2006,"['Tragedy', 'Kaiju', 'Drama', 'Back to top', 'Monster Horror', 'Sci-Fi', 'Horror', 'Psychological Drama']",7.1,"$2,201,923","$89,433,506","₩12,215,500,000 (estimated)","$320,000",https://www.imdb.com/title/tt0468492/
Shadowless Sword,2005,"['Wuxia', 'Adventure', 'Back to top', 'History', 'Action']",6.4,N/A,"$3,868,257",N/A,N/A,https://www.imdb.com/title/tt0488763/
Sunday Seoul,2005,"['Back to top', 'Comedy']",5.5,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0778120/
