title,year,genres,imdb_rating,local_gross,worldwide_gross,budget,opening_weekend,url
Ona,2017,"['Back to top', 'Thriller', 'Drama']",5.4,N/A,"$72,909",N/A,N/A,https://www.imdb.com/title/tt6889668/
Joker,2013,"['Thriller', 'Action', 'Back to top']",5.2,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt3002286/
Who Are You Mr. K?,2010,"['Back to top', 'Action', 'Crime', 'Comedy']",6.9,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt1773519/
Whisper of the Witch,2024,"['Thriller', 'Supernatural Horror', 'Back to top', 'Horror']",3.9,N/A,"$341,532",N/A,N/A,https://www.imdb.com/title/tt13358904/
Where the Wind Blew,2016,"['Documentary', 'Back to top']",8.0,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt5967014/
Igla Remix,2010,"['Back to top', 'Thriller', 'Drama']",5.2,N/A,"$148,190",N/A,N/A,https://www.imdb.com/title/tt1718800/
Akkyz,2011,"['Back to top', 'Drama']",6.9,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt2098613/
The Legend of Tomiris,2019,"['Back to top', 'Drama', 'Fantasy', 'War', 'Action']",6.3,N/A,"$37,595",N/A,N/A,https://www.imdb.com/title/tt7985648/
Late Love,2010,"['Back to top', 'Comedy']",5.5,N/A,N/A,"$1,000,000 (estimated)",N/A,https://www.imdb.com/title/tt2023649/
Adventure,2014,"['Back to top', 'Drama', 'Romance']",6.2,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt3534636/
On i Ona,2013,"['Back to top', 'Romance', 'Drama', 'Comedy']",6.8,N/A,N/A,"$300,000 (estimated)",N/A,https://www.imdb.com/title/tt4190402/
Bullets of Justice,2019,"['Comedy', 'Back to top', 'Sci-Fi', 'Horror', 'Action']",4.5,N/A,N/A,"$1,200,000 (estimated)",N/A,https://www.imdb.com/title/tt6421398/
Onbagandar,2021,"['Back to top', 'Drama']",6.5,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt13294064/
More Than Love,2023,"['Back to top', 'Adventure']",6.5,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt21975450/
Vozvrashchenie v 'A',2011,"['Back to top', 'Drama', 'War']",6.2,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt2090663/
Shturm,2022,"['Back to top', 'Thriller', 'Drama', 'Comedy']",6.0,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt17498694/
Joqtau,2024,"['Back to top', 'Drama']",6.2,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt32886701/
The Cocktail for a Star,2010,"['Back to top', 'Comedy']",7.6,N/A,N/A,"$300,000 (estimated)",N/A,https://www.imdb.com/title/tt3947354/
Baikonur,2011,"['Back to top', 'Romance', 'Drama', 'Comedy']",6.3,N/A,"$22,562",N/A,N/A,https://www.imdb.com/title/tt1826610/
Baikonur. Earth,2018,"['Documentary', 'Back to top']",6.5,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt8595774/
The Plague at the Karatas Village,2016,"['Back to top', 'Fantasy', 'Drama']",5.9,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt5127758/
